spearman,pearson,rmse,mae,n,config,benchmark,seed
0.458151210139831,0.424040320753773,1.6908779198115098,1.213541737706115,669,E2,s669,42
0.47942770782217414,0.4464309694237895,1.654098496491443,1.1868023194834836,669,E2,s669,43
0.47156673360955353,0.4419601013876531,1.660209182174109,1.2021729682247824,669,E2,s669,44
0.6479505392644396,0.6300650175994479,1.171808731785138,0.8834909019656398,461,E2,s461,42
0.6607785689219308,0.6432550490299258,1.1469933693760894,0.8590792863909559,461,E2,s461,43
0.6608768032366954,0.6449626534848626,1.1475412442150101,0.8722421468842629,461,E2,s461,44
0.6362156704336037,0.6344202921786615,1.6145041073669575,1.2117730460366374,783,E2,s783,42
0.6443905167570003,0.637771731925819,1.606350169953681,1.180344682886226,783,E2,s783,43
0.647796435036926,0.6288706462636041,1.6178787134195796,1.2070655415255676,783,E2,s783,44
0.5834255382943737,0.567119091574665,1.4173756069356236,1.0661756906368605,2648,E2,s2648,42
0.5710763201801884,0.5528678624334354,1.4573360458476006,1.088006802862707,2648,E2,s2648,43
0.5841831681808601,0.5685330481074511,1.4198733609126053,1.0666031497833108,2648,E2,s2648,44
0.5680042471594334,0.5199341344629529,1.8374937327380463,1.2811309376888678,8228,E2,s8754,42
0.5614666680384327,0.5187756603446063,1.8400823045630146,1.2716508396713806,8228,E2,s8754,43
0.5653818514117432,0.5043021985984952,1.8685300086163414,1.2976934363019714,8228,E2,s8754,44
0.3980878119940911,0.3537789094751026,8.912837570261795,5.984416712238576,571,E2,s571,42
0.39758148655080117,0.3549306848637489,8.902999841156745,5.9683115008220256,571,E2,s571,43
0.38253910949506487,0.35498774170467734,8.910483765616638,5.9914451018595605,571,E2,s571,44
0.4966229742680918,0.454628711783366,7.5300123929330836,4.698128452854929,3969,E2,s4346,42
0.4827788099144762,0.4454661777457821,7.565205512746805,4.739402908270554,3969,E2,s4346,43
0.4933552432055609,0.44954768252891075,7.561256569551804,4.721202544654931,3969,E2,s4346,44
0.5125014012892641,0.5068902320451885,1.4688655669947137,1.093195256041853,342,E2,ssym_direct,42
0.49497725430464784,0.47481757643673334,1.5468459419172873,1.1134433678585536,342,E2,ssym_direct,43
0.5137805196775705,0.509212093837938,1.4694348007155984,1.0711983398735871,342,E2,ssym_direct,44
0.35529557573982656,0.3663321815946312,1.8300778127158086,1.3521922563818114,342,E2,ssym_inverse,42
0.3856275614041169,0.41796598808021207,1.845179600187119,1.3690432236578904,342,E2,ssym_inverse,43
0.33064782714563573,0.34131532827232036,1.835132585812428,1.3170821064244411,342,E2,ssym_inverse,44
0.5392061870019158,0.5244269806841232,1.7355554042135894,1.2657448078275935,2578,E2,fireport_hf,42
0.5214119884045059,0.5104882207341302,1.765319705278267,1.2831114151253515,2578,E2,fireport_hf,43
