config,benchmark,n_seeds,spearman_mean,spearman_std,pearson_mean,pearson_std,rmse_mean,rmse_std,mae_mean,mae_std,spearman_ci_lo,spearman_ci_hi
E2,s669,3,0.4697152171905195,0.01075841174124473,0.4374771305217386,0.011849390608993655,1.6683951994923538,0.019708872483988643,1.2008390084714602,0.013419527122399334,0.26808471323727473,0.6089003040617701
E2,s461,3,0.6565353038076885,0.007434786425474392,0.6394275733714121,0.008153040302916774,1.1554477817920794,0.014171646171715869,0.871604111746953,0.012218308408649287,0.5123931535107799,0.7440501937428898
E2,s783,3,0.6428008740758434,0.005951785453937947,0.6336875567893615,0.004495554176580615,1.6129109969134061,0.005927084384348586,1.1997277568161435,0.016950451790731836,0.5513111885060888,0.7023568059753913
E2,s2648,3,0.5795616755518074,0.007358290738902766,0.5628400007051838,0.008665014400005578,1.43152833789861,0.022384995776583972,1.0735952144276262,0.012482631583407778,0.5338574593005406,0.6249754238069521
E2,s8754,3,0.5649509222032031,0.0032900243430582566,0.5143373311353515,0.008709961500771567,1.8487020153058007,0.017220254500598685,1.2834917378874067,0.013180828615795783,0.5098478809848009,0.6240831851613817
E2,s571,3,0.392736136013319,0.008834512081836488,0.3545657786811763,0.0006820456226488465,8.908773725678394,0.005136964661050202,5.981391104973388,0.011859873470376116,0.23517016375451205,0.5535354636152802
E2,s4346,3,0.49091900912937625,0.0072364804302887924,0.4498808573526863,0.004590344387392867,7.552158158410564,0.019280164276452984,4.719577968593471,0.020685129997142882,0.42311162100383726,0.5518464829137575
E2,ssym_direct,3,0.5070863917571607,0.010506304933025486,0.49697330077328655,0.01922250897266434,1.4950487698758665,0.04485856975399081,1.092612321257998,0.02112854602390615,0.23271917774636508,0.6130501317249033
E2,ssym_inverse,3,0.35719032142985974,0.02753879700905119,0.37520449931572114,0.0390879703816182,1.8367966662384518,0.007687188624937189,1.3461058621547144,0.026509858016458637,0.2482796100250177,0.45476009584158045
E2,fireport_hf,3,0.5318927364787119,0.009310327935333708,0.5146731090749906,0.008475401950208804,1.7536738805193997,0.015902824214689006,1.2729370072510509,0.009059245978106947,0.4329031323535184,0.6019344767140017
E2,megascale_test,3,0.6640525265402432,0.001309743211690887,0.6737394912925794,0.001999146181814295,1.338576067543455,0.026903121403263158,1.0430349191187924,0.020694142433889968,0.6303057026275034,0.7007778312415609
E2noOOD,s669,3,0.4445611104759651,0.007353035367234538,0.4292133649949852,0.010200438089768941,1.6306813585731978,0.015144723166208043,1.1939922753279713,0.005059466119623697,0.23789543936207838,0.5883134136728911
E2noOOD,s461,3,0.6199569646245394,0.01100382903057085,0.618895501162105,0.010765887220832143,1.1503823409118608,0.006865648417109848,0.8807828174461223,0.001759519951461466,0.4778045144508485,0.7224467186533379
E2noOOD,s783,3,0.6466499172886925,0.01134724271493819,0.6430265647840746,0.019645225564293448,1.5811475923057259,0.04755326883345468,1.1686773875077237,0.03212854937190819,0.5394628313115546,0.7060318477120168
E2noOOD,s2648,3,0.578951311871516,0.009696989305129513,0.565466454233232,0.009880697700219305,1.3717781423944102,0.0329350221303448,1.0322699588751616,0.024586454911163597,0.5342935664735342,0.6256101941336765
E2noOOD,s8754,3,0.5676812844666764,0.004673133936700353,0.5212839856845567,0.0037139824646605316,1.7935237655177128,0.016128904763655152,1.2296160256262958,0.01406723212526611,0.5052771695134705,0.6207971258897222
E2noOOD,s571,3,0.3718090556611127,0.020705416641223502,0.3533629995669654,0.011009986752237386,8.961084303769958,0.022299483915886792,5.999033772965629,0.01423874353939296,0.19771349210588518,0.5147577057428713
E2noOOD,s4346,3,0.4884171356357381,0.012390903241196318,0.44894172422494366,0.015539779615044418,7.5951258564144135,0.014751304510092178,4.743229210243302,0.010352034319668937,0.4312729861061853,0.5530008734656469
E2noOOD,ssym_direct,3,0.5294576347137938,0.02892991485080599,0.5014679112399781,0.03475074278776014,1.4681614468438273,0.06758626426831738,1.0498149855058736,0.037196361753686506,0.30221371543305137,0.6234457780308554
E2noOOD,ssym_inverse,3,0.3495359669625451,0.03494815546951522,0.3769463795752059,0.033066950561288125,1.7712223949103258,0.013210430829672284,1.3173053847484246,0.008226263120894235,0.2223899656753061,0.43453890833629405
E2noOOD,fireport_hf,3,0.5402750033084666,0.005804779079355425,0.529418621793116,0.005837456702897184,1.6991231749644358,0.012871967276220484,1.232883421719346,0.008205855229415434,0.4294892310240486,0.6038194419679614
E2noOOD,megascale_test,3,0.6670679819505917,0.004083966249269645,0.6791546342073213,0.003827737059641466,1.1731552800569602,0.04183316131335181,0.914563654261204,0.030670650340325373,0.6408554131678386,0.7023533060804964
